flight date,airline,flight_num,class,from,dep_time,to,arr_time,duration,price,stops
06/26/2023,SpiceJet,SG-8709,economy,Delhi,18:55,Mumbai,21:05,02h 10m,6013,non-stop
06/26/2023,SpiceJet,SG-8157,economy,Delhi,06:20,Mumbai,08:40,02h 20m,6013,non-stop
06/26/2023,AirAsia,I5-764,economy,Delhi,04:25,Mumbai,06:35,02h 10m,6016,non-stop
06/26/2023,Vistara,UK-995,economy,Delhi,10:20,Mumbai,12:35,02h 15m,6015,non-stop
06/26/2023,Vistara,UK-963,economy,Delhi,08:50,Mumbai,11:10,02h 20m,6015,non-stop
06/26/2023,Vistara,UK-945,economy,Delhi,11:40,Mumbai,14:00,02h 20m,6015,non-stop
06/26/2023,Vistara,UK-927,economy,Delhi,09:30,Mumbai,11:35,02h 05m,6121,non-stop
06/26/2023,Vistara,UK-951,economy,Delhi,14:20,Mumbai,16:30,02h 10m,6121,non-stop
06/26/2023,GO FIRST,G8-334,economy,Delhi,08:00,Mumbai,10:10,02h 10m,6014,non-stop
06/26/2023,GO FIRST,G8-336,economy,Delhi,14:20,Mumbai,16:35,02h 15m,6014,non-stop
06/26/2023,GO FIRST,G8-392,economy,Delhi,15:00,Mumbai,17:15,02h 15m,6014,non-stop
06/26/2023,GO FIRST,G8-338,economy,Delhi,10:30,Mumbai,12:50,02h 20m,6014,non-stop
06/26/2023,Indigo,6E-5001,economy,Delhi,07:15,Mumbai,09:25,02h 10m,6015,non-stop
06/26/2023,Indigo,6E-6202,economy,Delhi,12:00,Mumbai,14:10,02h 10m,6015,non-stop
06/26/2023,Indigo,6E-549,economy,Delhi,14:20,Mumbai,16:35,02h 15m,6015,non-stop
06/26/2023,Indigo,6E-6278,economy,Delhi,08:45,Mumbai,11:05,02h 20m,6015,non-stop
06/26/2023,Air India,AI-887,economy,Delhi,07:00,Mumbai,09:05,02h 05m,6015,non-stop
06/26/2023,Air India,AI-665,economy,Delhi,08:00,Mumbai,10:10,02h 10m,6015,non-stop
06/26/2023,AirAsia,I5-747,economy,Delhi,19:00,Mumbai,07:15,12h 15m,6008,1-stop
06/26/2023,AirAsia,I5-747,economy,Delhi,19:00,Mumbai,11:20,16h 20m,6008,1-stop
06/26/2023,GO FIRST,G8-266,economy,Delhi,06:25,Mumbai,18:10,11h 45m,6014,1-stop
06/26/2023,GO FIRST,G8-101,economy,Delhi,05:50,Mumbai,20:20,14h 30m,6014,1-stop
06/26/2023,GO FIRST,G8-103,economy,Delhi,19:25,Mumbai,11:05,15h 40m,6014,1-stop
06/26/2023,Air India,AI-441,economy,Delhi,17:50,Mumbai,21:35,03h 45m,6015,"1-stop
												Via IXU
												"
06/26/2023,Indigo,6E-5328,economy,Delhi,09:30,Mumbai,12:00,02h 30m,6227,non-stop
06/26/2023,Vistara,UK-933,economy,Delhi,15:30,Mumbai,17:40,02h 10m,6757,non-stop
06/26/2023,Indigo,6E-2046,economy,Delhi,17:15,Mumbai,19:25,02h 10m,6651,non-stop
06/26/2023,AirAsia,I5-744,economy,Delhi,08:20,Mumbai,14:10,05h 50m,8958,1-stop
06/26/2023,SpiceJet,SG-8169,economy,Delhi,19:45,Mumbai,22:05,02h 20m,10363,non-stop
06/26/2023,Indigo,6E-5041,economy,Delhi,18:40,Mumbai,20:50,02h 10m,10575,non-stop
06/26/2023,GO FIRST,G8-165,economy,Delhi,06:05,Mumbai,14:05,08h 00m,10681,1-stop
06/26/2023,Indigo,6E-2373,economy,Delhi,13:50,Mumbai,19:50,06h 00m,10946,1-stop
06/26/2023,Vistara,UK-813,economy,Delhi,17:35,Mumbai,08:15,14h 40m,12272,1-stop
06/26/2023,Vistara,UK-817,economy,Delhi,16:05,Mumbai,08:15,16h 10m,12272,1-stop
06/26/2023,Vistara,UK-819,economy,Delhi,14:15,Mumbai,08:15,18h 00m,12272,1-stop
06/26/2023,Vistara,UK-801,economy,Delhi,09:05,Mumbai,08:15,23h 10m,12272,1-stop
06/26/2023,Vistara,UK-815,economy,Delhi,08:05,Mumbai,08:15,24h 10m,12272,1-stop
06/26/2023,Air India,AI-453,economy,Delhi,04:55,Mumbai,13:45,08h 50m,12019,1-stop
06/26/2023,SpiceJet,SG-2976,economy,Delhi,19:20,Mumbai,23:50,04h 30m,12244,1-stop
06/26/2023,SpiceJet,SG-2976,economy,Delhi,19:20,Mumbai,10:35,15h 15m,12244,1-stop
06/26/2023,Air India,AI-504,economy,Delhi,21:35,Mumbai,08:35,11h 00m,12272,1-stop
06/26/2023,Air India,AI-502,economy,Delhi,13:30,Mumbai,08:35,19h 05m,12272,1-stop
06/26/2023,Air India,AI-506,economy,Delhi,09:45,Mumbai,08:35,22h 50m,12272,1-stop
